GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Share of Aggregate Income: - Lowest Quintile,Margin of Error; Quintile Share of Aggregate Income: - Lowest Quintile,Estimate; Quintile Share of Aggregate Income: - Second Quintile,Margin of Error; Quintile Share of Aggregate Income: - Second Quintile,Estimate; Quintile Share of Aggregate Income: - Third Quintile,Margin of Error; Quintile Share of Aggregate Income: - Third Quintile,Estimate; Quintile Share of Aggregate Income: - Fourth Quintile,Margin of Error; Quintile Share of Aggregate Income: - Fourth Quintile,Estimate; Quintile Share of Aggregate Income: - Highest Quintile,Margin of Error; Quintile Share of Aggregate Income: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
1400000US48453000101,48453000101,"Census Tract 1.01, Travis County, Texas",3.23,1.05,9.06,1.23,15.59,1.55,23.81,1.65,48.3,3.26,17.65,1.93
1400000US48453000102,48453000102,"Census Tract 1.02, Travis County, Texas",2.69,0.98,7.69,1.28,12.14,1.78,20.06,2.34,57.41,4.01,22.26,2.93
1400000US48453000203,48453000203,"Census Tract 2.03, Travis County, Texas",0.63,0.69,6.58,3.08,13.48,4.22,22.23,6.01,57.09,12.58,30.63,17.03
1400000US48453000204,48453000204,"Census Tract 2.04, Travis County, Texas",1.4,0.5,5.43,1.9,11.5,1.66,20.59,2.63,61.08,5.24,27.73,6.21
1400000US48453000205,48453000205,"Census Tract 2.05, Travis County, Texas",4.3,1.28,10.14,1.92,15.87,1.09,23.22,1.83,46.47,3.23,15.23,1.59
1400000US48453000206,48453000206,"Census Tract 2.06, Travis County, Texas",2.66,1.22,9.98,1.65,14.31,1.39,23.32,2.01,49.73,4.2,20.86,3.49
1400000US48453000302,48453000302,"Census Tract 3.02, Travis County, Texas",2.27,1.11,7.85,1,13.69,1.54,22.88,2.03,53.31,3.6,19.34,3.17
1400000US48453000304,48453000304,"Census Tract 3.04, Travis County, Texas",3.32,0.81,8.08,1.38,13.21,1.72,19.84,2.2,55.56,4.77,24.67,5.38
1400000US48453000305,48453000305,"Census Tract 3.05, Travis County, Texas",3.03,0.89,7.71,0.98,13.57,1.79,22.16,2.31,53.53,4.59,24.59,4.93
1400000US48453000306,48453000306,"Census Tract 3.06, Travis County, Texas",2.09,0.82,6.8,1.62,13.13,1.69,23.09,3.08,54.88,5.46,24.54,7.65
1400000US48453000307,48453000307,"Census Tract 3.07, Travis County, Texas",3.67,1.12,10.09,1.59,15.09,1.31,25.35,2.6,45.81,3.54,16.92,2.96
1400000US48453000401,48453000401,"Census Tract 4.01, Travis County, Texas",0.86,0.53,6.04,1.93,15.07,3.48,22.36,4.46,55.67,9.45,29.76,11.91
1400000US48453000402,48453000402,"Census Tract 4.02, Travis County, Texas",4.36,1.09,10.78,1.29,16.09,1.31,25.31,2.39,43.47,3.14,14.62,2.49
1400000US48453000500,48453000500,"Census Tract 5, Travis County, Texas",0.87,0.71,3.94,1.33,9.66,2.72,17.9,3.02,67.64,6.88,32.83,4.2
1400000US48453000601,48453000601,"Census Tract 6.01, Travis County, Texas",0.45,0.77,4.21,1.42,9.34,3.76,27.87,6.67,58.14,9.32,21.39,5.99
1400000US48453000603,48453000603,"Census Tract 6.03, Travis County, Texas",0.14,0.46,4.76,1.67,10.88,1.95,21.82,3.14,62.39,5.63,29.44,6.18
1400000US48453000604,48453000604,"Census Tract 6.04, Travis County, Texas",0.38,0.61,4.47,2.28,10.99,2.87,19.04,3.31,65.12,7.25,34.61,8.69
1400000US48453000700,48453000700,"Census Tract 7, Travis County, Texas",1.97,1.37,7.9,1.51,12.64,2.18,19.75,3.25,57.73,6.43,28.54,8.55
1400000US48453000801,48453000801,"Census Tract 8.01, Travis County, Texas",3.42,0.83,9.1,3.28,18.18,2.15,25.38,2.39,43.92,5.49,16.02,2.77
1400000US48453000802,48453000802,"Census Tract 8.02, Travis County, Texas",2.14,1,6.67,2.12,12.05,2.85,22.68,3.6,56.47,7.41,27.88,6.96
1400000US48453000803,48453000803,"Census Tract 8.03, Travis County, Texas",4.01,1.02,10.09,2.34,17.02,1.84,24.68,1.77,44.2,4.04,15.89,2.38
1400000US48453000804,48453000804,"Census Tract 8.04, Travis County, Texas",1.21,0.62,4.68,1.49,11.72,1.76,24.85,2.54,57.54,4.44,21.51,3.92
1400000US48453000901,48453000901,"Census Tract 9.01, Travis County, Texas",3.26,1.04,9.75,1.74,18.28,1.6,27.45,1.84,41.26,3.44,13.47,2.72
1400000US48453000902,48453000902,"Census Tract 9.02, Travis County, Texas",3.53,0.82,8.49,1.43,14.04,1.92,22.78,2.48,51.15,5.15,22.12,7.1
1400000US48453001000,48453001000,"Census Tract 10, Travis County, Texas",2.48,0.9,6.91,1.34,13.7,2.23,24.06,2.71,52.85,5.13,23.43,5.03
1400000US48453001100,48453001100,"Census Tract 11, Travis County, Texas",2.53,1.11,7.15,1.67,11.77,2.26,19.57,2.99,58.98,6.96,29.96,4.56
1400000US48453001200,48453001200,"Census Tract 12, Travis County, Texas",3.01,1.01,8.12,1.47,13.42,1.46,22.46,2.43,52.98,4.38,23.18,5.23
1400000US48453001303,48453001303,"Census Tract 13.03, Travis County, Texas",2.65,1.16,8.85,1.95,14.09,2.08,21.59,2.54,52.83,6.06,24.72,6.23
1400000US48453001304,48453001304,"Census Tract 13.04, Travis County, Texas",3.69,1.06,9.24,1.71,13.89,1.83,22.24,2.51,50.94,5.71,22.69,5.81
1400000US48453001305,48453001305,"Census Tract 13.05, Travis County, Texas",2.06,0.95,8.22,1.32,13.9,1.51,23.98,2.63,51.83,3.71,19.71,2.41
1400000US48453001307,48453001307,"Census Tract 13.07, Travis County, Texas",2.2,1.32,8.34,1.22,13.54,1.69,22.04,1.51,53.89,3.86,20.78,3.05
1400000US48453001308,48453001308,"Census Tract 13.08, Travis County, Texas",3.26,1.28,9.45,1.22,15.22,1.68,24.32,2.36,47.74,3.53,18.04,2.07
1400000US48453001401,48453001401,"Census Tract 14.01, Travis County, Texas",3.84,0.96,10.46,2.06,16.39,1.15,22.77,1.66,46.54,2.96,16.5,2.09
1400000US48453001402,48453001402,"Census Tract 14.02, Travis County, Texas",4.79,1.16,9.95,1.07,14.96,2.13,24.9,1.63,45.41,3.43,16.11,2.54
1400000US48453001403,48453001403,"Census Tract 14.03, Travis County, Texas",2.53,1.45,9.34,1.72,14.91,1.47,24.67,2.28,48.56,4.05,17.29,2.21
1400000US48453001501,48453001501,"Census Tract 15.01, Travis County, Texas",3.73,1.47,11.16,1.9,17.59,1.21,24.74,1.62,42.79,3.36,15.19,2.15
1400000US48453001503,48453001503,"Census Tract 15.03, Travis County, Texas",3.29,0.89,8.03,1.48,15.07,2.16,23.92,1.78,49.69,4.72,20.97,3.53
1400000US48453001504,48453001504,"Census Tract 15.04, Travis County, Texas",4.19,1.47,9.78,2.19,14.11,2.4,21.71,3.33,50.22,8.29,24.23,10.35
1400000US48453001505,48453001505,"Census Tract 15.05, Travis County, Texas",3.26,1.13,8.63,1.34,13.41,1.38,23.5,1.93,51.19,3.81,20.71,2.54
1400000US48453001602,48453001602,"Census Tract 16.02, Travis County, Texas",2.32,0.84,6.65,1.23,11.1,1.75,18.97,2.96,60.96,4.76,24.73,4.45
1400000US48453001603,48453001603,"Census Tract 16.03, Travis County, Texas",3.64,0.88,8.42,1.49,12.98,1.79,20,2.46,54.96,5.97,27.83,5.85
1400000US48453001604,48453001604,"Census Tract 16.04, Travis County, Texas",2.26,0.86,7.85,1.57,13.97,2.32,22.37,2.77,53.55,5.82,26.72,7.32
1400000US48453001605,48453001605,"Census Tract 16.05, Travis County, Texas",2.16,0.75,6.01,1.28,11.5,1.63,19.99,3.11,60.34,4.99,29.85,5.39
1400000US48453001606,48453001606,"Census Tract 16.06, Travis County, Texas",-,**,-,**,-,**,-,**,-,**,-,**
1400000US48453001705,48453001705,"Census Tract 17.05, Travis County, Texas",3.67,0.84,8.2,1.24,13.55,1.44,23.5,2.52,51.08,4.24,17.88,3.85
1400000US48453001706,48453001706,"Census Tract 17.06, Travis County, Texas",4.89,0.96,9.73,1.08,15.21,1.59,23.52,1.64,46.66,2.94,15.79,1.23
1400000US48453001707,48453001707,"Census Tract 17.07, Travis County, Texas",3.72,1.15,10.73,1.87,16.78,1.41,25,1.52,43.77,3.29,14.46,1.51
1400000US48453001712,48453001712,"Census Tract 17.12, Travis County, Texas",4.47,0.94,10.31,1.11,15.71,1.2,23.59,1.85,45.92,3.06,17.22,2.32
1400000US48453001713,48453001713,"Census Tract 17.13, Travis County, Texas",4.19,1.24,10.24,0.99,15.89,1.08,25.28,1.69,44.41,2.58,16.34,2.37
1400000US48453001714,48453001714,"Census Tract 17.14, Travis County, Texas",3.69,0.78,8.73,0.98,15.04,1.35,25.97,2.27,46.58,3.09,16.79,2.39
1400000US48453001716,48453001716,"Census Tract 17.16, Travis County, Texas",4.82,1.38,9.53,1.47,13.19,1.8,21.95,2.17,50.51,5.62,22.19,5.31
1400000US48453001718,48453001718,"Census Tract 17.18, Travis County, Texas",3.34,0.8,7.97,1.15,13.25,1.79,21.3,1.84,54.14,4,21.25,2.52
1400000US48453001719,48453001719,"Census Tract 17.19, Travis County, Texas",4.32,0.89,10.19,1.35,15.61,1.68,22.5,2.3,47.39,5.11,21.23,6.28
1400000US48453001722,48453001722,"Census Tract 17.22, Travis County, Texas",5.12,1.29,10.52,1.89,14.24,2.5,21.11,3.44,49.01,7.98,24.08,10.02
1400000US48453001728,48453001728,"Census Tract 17.28, Travis County, Texas",6.18,1.22,13.1,0.98,18.27,1.07,23.75,1.08,38.69,2.52,13.51,2.03
1400000US48453001729,48453001729,"Census Tract 17.29, Travis County, Texas",6.64,2.12,13.44,1.61,18.96,1.57,23.48,1.78,37.48,3.93,13.97,2.52
1400000US48453001733,48453001733,"Census Tract 17.33, Travis County, Texas",5.08,1.2,11.07,1.21,15.21,1.32,22.44,1.9,46.2,3.73,16.79,2.84
1400000US48453001737,48453001737,"Census Tract 17.37, Travis County, Texas",5.72,0.76,10.58,0.89,17.72,1.08,25.27,1.03,40.7,1.69,13.61,1.03
1400000US48453001738,48453001738,"Census Tract 17.38, Travis County, Texas",4.61,1.59,11.95,1.49,16.95,1.04,24.14,1.53,42.35,3.21,15.28,2.47
1400000US48453001740,48453001740,"Census Tract 17.40, Travis County, Texas",4.6,1.16,11.61,1.35,17.6,1.45,24.45,1.44,41.74,3.18,15.68,2.37
1400000US48453001741,48453001741,"Census Tract 17.41, Travis County, Texas",2.7,1.21,9.39,1.59,15.93,1.4,23.64,1.8,48.34,3.59,18.04,2.55
1400000US48453001742,48453001742,"Census Tract 17.42, Travis County, Texas",2.68,1.22,7.86,1.56,12.88,1.59,22.62,2.45,53.97,3.86,21.76,3.86
1400000US48453001745,48453001745,"Census Tract 17.45, Travis County, Texas",4.67,1.23,11.21,1.87,17.99,1.59,24.08,1.76,42.05,3.16,13.61,1.64
1400000US48453001746,48453001746,"Census Tract 17.46, Travis County, Texas",3.63,1.15,9.48,1.86,17.81,1.7,25.57,1.51,43.52,3.59,15.67,2.69
1400000US48453001747,48453001747,"Census Tract 17.47, Travis County, Texas",3.02,1.35,10.82,1.18,17.46,1.43,24.87,1.36,43.84,2.75,15.69,1.99
1400000US48453001748,48453001748,"Census Tract 17.48, Travis County, Texas",4.75,0.91,11.64,1.47,16.72,1.36,24.09,1.62,42.79,3.67,18.24,3.83
1400000US48453001749,48453001749,"Census Tract 17.49, Travis County, Texas",6.5,0.92,12.81,0.98,18.01,1.28,24.96,1.09,37.72,2.16,12.16,2.08
1400000US48453001750,48453001750,"Census Tract 17.50, Travis County, Texas",4.24,1.24,9.86,1.22,16.21,1.63,23.92,1.87,45.76,3.52,18.45,3.78
1400000US48453001751,48453001751,"Census Tract 17.51, Travis County, Texas",3.89,0.87,9.14,1.12,14.44,1.72,23.42,2.39,49.11,4.76,19.53,6.51
1400000US48453001752,48453001752,"Census Tract 17.52, Travis County, Texas",1.79,1.19,10.23,2.36,16.64,1.58,24.83,1.84,46.5,4.29,15.9,2.69
1400000US48453001753,48453001753,"Census Tract 17.53, Travis County, Texas",5.26,2.14,13.8,1.3,19.24,1.3,23.51,1.64,38.19,3.64,13.64,2.14
1400000US48453001754,48453001754,"Census Tract 17.54, Travis County, Texas",4.53,1.28,9.51,1.19,15.21,1.67,23.05,1.94,47.71,3.98,18.34,3.7
1400000US48453001755,48453001755,"Census Tract 17.55, Travis County, Texas",4.26,0.98,11.47,1.01,17.25,1.18,23.8,1.17,43.21,2.77,16.12,2.89
1400000US48453001756,48453001756,"Census Tract 17.56, Travis County, Texas",6,1.24,11.29,1.18,18.05,1.32,24.07,1.29,40.58,2.94,14.72,2.87
1400000US48453001757,48453001757,"Census Tract 17.57, Travis County, Texas",3.26,1.19,8.14,1.71,14.74,2.07,23.05,2.54,50.81,5.48,21.13,5.52
1400000US48453001760,48453001760,"Census Tract 17.60, Travis County, Texas",4.66,0.92,9.97,1.43,15.05,1.69,21.67,2.18,48.66,4.91,22.65,5.37
1400000US48453001761,48453001761,"Census Tract 17.61, Travis County, Texas",3.27,0.75,6.95,0.85,12.46,1.47,23.29,2.37,54.03,4.1,24.28,4.62
1400000US48453001764,48453001764,"Census Tract 17.64, Travis County, Texas",3.54,0.71,8.54,1.15,15.03,1.32,22.23,2.02,50.67,3.89,21.88,4.43
1400000US48453001765,48453001765,"Census Tract 17.65, Travis County, Texas",4.04,0.95,11.01,1.43,16.04,1.51,22.58,1.39,46.32,4.01,19.22,2.87
1400000US48453001766,48453001766,"Census Tract 17.66, Travis County, Texas",3.35,0.9,9.11,1.44,14.9,1.96,24.91,2.6,47.73,5.38,19.2,5.98
1400000US48453001768,48453001768,"Census Tract 17.68, Travis County, Texas",4.38,0.98,9.87,1.39,14.62,1.76,21.14,2.23,50,5.25,23.89,4.91
1400000US48453001769,48453001769,"Census Tract 17.69, Travis County, Texas",5.02,1.29,10.97,1.18,16.43,1.8,23.14,1.31,44.44,3.46,16.02,2.12
1400000US48453001770,48453001770,"Census Tract 17.70, Travis County, Texas",6,1.19,12.08,1.07,16.14,1.1,22.11,1.27,43.68,3.27,18.37,3.71
1400000US48453001771,48453001771,"Census Tract 17.71, Travis County, Texas",3.83,1,9.53,1.31,14.81,1.77,22.47,2.59,49.36,5.6,23.06,6.15
1400000US48453001772,48453001772,"Census Tract 17.72, Travis County, Texas",6.02,2.02,12.09,1.69,17.93,1.98,23.7,2.3,40.26,6.06,18.2,7.05
1400000US48453001773,48453001773,"Census Tract 17.73, Travis County, Texas",3.31,1.01,8.89,0.97,16.48,1.16,25.49,1.31,45.83,2.93,17.67,2.21
1400000US48453001774,48453001774,"Census Tract 17.74, Travis County, Texas",6.6,0.98,13.25,1.11,17.18,1.08,23.54,1.77,39.43,2.52,13.32,1.48
1400000US48453001775,48453001775,"Census Tract 17.75, Travis County, Texas",6.07,1.51,13.55,1.07,17.99,1.3,23.93,1.37,38.46,3.41,14.66,3.76
1400000US48453001776,48453001776,"Census Tract 17.76, Travis County, Texas",6.22,1.41,12.45,1.19,17.68,1.36,24.75,1.29,38.9,2.67,12.48,1.39
1400000US48453001777,48453001777,"Census Tract 17.77, Travis County, Texas",6.56,1,12.95,1.22,19.36,1.27,24.69,1.27,36.44,2.46,12.98,2.4
1400000US48453001778,48453001778,"Census Tract 17.78, Travis County, Texas",3.24,0.98,9.53,1.81,13.81,2.54,20.91,3.4,52.52,7.63,25.93,8.82
1400000US48453001779,48453001779,"Census Tract 17.79, Travis County, Texas",3.55,0.89,8.07,2.63,14.8,3.16,20.49,3.41,53.09,8.93,28.48,10.13
1400000US48453001780,48453001780,"Census Tract 17.80, Travis County, Texas",3.33,0.68,7.51,1.04,14.51,2.19,23.03,2.33,51.61,5.13,22.9,7.14
1400000US48453001781,48453001781,"Census Tract 17.81, Travis County, Texas",5.03,0.91,11.49,1.39,18.25,1.44,25.6,1.26,39.63,2.88,13.88,1.9
1400000US48453001782,48453001782,"Census Tract 17.82, Travis County, Texas",3.9,0.69,10.16,1.5,15.78,1.58,23.91,2.02,46.24,4.56,19.24,4.89
1400000US48453001783,48453001783,"Census Tract 17.83, Travis County, Texas",2.38,0.61,6.89,1.32,12.83,1.4,22.09,2.3,55.81,4.07,25.1,4.15
1400000US48453001784,48453001784,"Census Tract 17.84, Travis County, Texas",3.92,0.79,10.19,1.9,16.33,2.03,22.34,2.32,47.22,5.68,20.73,5.34
1400000US48453001785,48453001785,"Census Tract 17.85, Travis County, Texas",5.84,1.19,12.24,1.36,16.39,1.23,22.58,1.78,42.95,3.58,15.19,3.41
1400000US48453001786,48453001786,"Census Tract 17.86, Travis County, Texas",4.52,1.38,11.07,1.52,17.14,1.33,24.72,1.32,42.55,3.22,14.93,2.03
1400000US48453001804,48453001804,"Census Tract 18.04, Travis County, Texas",2.66,1.3,7.46,2.18,13.86,3.93,20.78,5.49,55.23,11.88,30.29,16.74
1400000US48453001805,48453001805,"Census Tract 18.05, Travis County, Texas",3.32,0.84,8.41,1.75,14.11,1.51,23.55,1.62,50.61,3.94,18.81,2.25
1400000US48453001806,48453001806,"Census Tract 18.06, Travis County, Texas",4.32,1.79,9.99,1.75,13.83,2.45,21.67,3.19,50.19,7.38,21.01,9.71
1400000US48453001811,48453001811,"Census Tract 18.11, Travis County, Texas",4.66,0.79,9.11,1.52,14.4,1.51,23.44,2.95,48.39,3.95,17.62,3.1
1400000US48453001812,48453001812,"Census Tract 18.12, Travis County, Texas",2.28,1.33,9.63,1.08,15.66,1.38,24.02,2.05,48.42,3.04,17.4,2.06
1400000US48453001813,48453001813,"Census Tract 18.13, Travis County, Texas",3.58,1.09,8.64,1.14,13.28,1.83,22.22,1.86,52.29,4.42,23.07,3.51
